output_variable_name,output_display_name,internal_notes,display_notes,cost_type
cb:waso:technical_cost:waste_to_energy:incineration,Cost of Energy Recovery (incineration),0.25 toe/ton feedstock x 42 Mbtu/1toe x $17/Mbtu=170,Cost for energy recovery is based on IEA estimates (2020f).,system_cost
cb:waso:technical_cost:waste_to_energy:anaerobic,Cost of Energy Recovery (anaerobic),ND,Cost for energy recovery is based on IEA estimates (2020f).,system_cost
cb:waso:technical_cost:waste_to_energy:landfill,Cost of Energy Recovery (landfill),"https://waste-management-world.com/resource-use/how-much-methane-is-generated-by-the-global-landfilling-of-urban-wastes/#:~:text=Using%20the%20World%20Bank%20numbers,case%20of%20U.S.%20LMOP%20landfills.",Cost for energy recovery is based on IEA estimates (2020f).,system_cost
cb:waso:fuel_cost:waste_to_energy_value:anaerobic,Cost of Energy Recovery (anaerobic),ND,Cost for energy recovery is based on IEA estimates (2020f).,system_cost
cb:waso:fuel_cost:waste_to_energy_value:landfill,Cost of Energy Recovery (landfill),ND,Cost for energy recovery is based on IEA estimates (2020f).,system_cost
cb:entc:air_pollution:X:diesel,Transport air pollution (diesel),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of electricity generated by renewables versus coal, natural gas, and oil. (Costs are averaged across LAC, and the average cost of coal and natural gas is used for oil). ",system_cost
cb:entc:air_pollution:X:gasoline,Transport air pollution (gasoline),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of electricity generated by renewables versus coal, natural gas, and oil. (Costs are averaged across LAC, and the average cost of coal and natural gas is used for oil). ",system_cost
cb:entc:air_pollution:X:biofuels,Transport air pollution (biofuels),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of electricity generated by renewables versus coal, natural gas, and oil. (Costs are averaged across LAC, and the average cost of coal and natural gas is used for oil). ",system_cost
cb:trns:congestion:X:diesel,Transportation congestion (diesel),none,"We use the IMFâs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:congestion:X:gasoline,Transportation congestion (gasoline),none,"We use the IMFâs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:congestion:X:biofuels,Transportation congestion (biofuels),none,"We use the IMFâs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:congestion:X:electricity,Transportation congestion (electricity),none,"We use the IMFâs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:waso:technical_cost:waste_collection:biogas,Cost of Waste Collection (biogas),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:waso:technical_cost:waste_collection:compost,Cost of Waste Collection (compost),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:waso:technical_cost:waste_collection:incinerated,Cost of Waste Collection (incineration),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:waso:technical_cost:waste_collection:landfilled,Cost of Waste Collection (landfilled),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:waso:technical_cost:waste_collection:open_dump,Cost of Waste Collection (open dumping),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:waso:technical_cost:waste_collection:recycled,Cost of Waste Collection (recycling),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups. We assume 70% of recycled and open dumped waste in LAC is collected, and 100% or waste in other management systems is collected. ",system_cost
cb:soil:technical_cost:agriculture_inputs:fertilizer,Cost savings (avoided fertilizer),none,"We use the average costs per ton of urea over the past five years as a cost of fertilier. This cost is available for download at https://www.indexmundi.com/commodities/?commodity=urea&months=60, accessed June 17, 2023.",system_cost
cb:soil:land_pollution:N_leaching:fertilizer,Cost savings (avoided fertilizer),ND,"Good and Beatty (2011, Box 2 and Tbale 4) estimate the total environmental cost of nitrate leaching and runoff to be 44% of the total cost of excess fertilizer applied, of which 70% of is attributed to nitrate leaching and runoff. The value of avoided nitrate leaching and runoff is estimated at 30% of the per-ton cost of fertilizer in the prior table.",system_cost
cb:inen:air_pollution:X:diesel,Industrial air pollution (diesel),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:inen:air_pollution:X:gasoline,Industrial air pollution (gasoline),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:inen:air_pollution:X:biomass,Industrial air pollution (biomass),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:inen:air_pollution:X:coal,Industrial air pollution (coal),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:inen:air_pollution:X:coke,Industrial air pollution (coke),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:inen:air_pollution:X:natural_gas,Industrial air pollution (natural gas),none,"We use the IMFÕs fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industryÕs use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",system_cost
cb:enfu:fuel_cost:X:X,Fuel Cost bio fuel_biogas,none,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:trns:road_safety:X:diesel,Transportation road safety (diesel),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:road_safety:X:gasoline,Transportation road safety (gasoline),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:road_safety:X:biofuels,Transportation road safety (biofuels),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trns:road_safety:X:electricity,Transportation road safety (electricity),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided congestion and crash cost on roads. These costs are provided per litre of fuel and reflect external costs. We use average costs across LAC and calculate total crash costs assuming external crash costs are 75% of the total (Parry et al., 2014). We assume gasoline externalities apply to biofuels and we apply costs to electric vehicles by calculating the cost per unit of energy, adjusting for approximately 4x higher energy efficiency of EVs. ",system_cost
cb:trww:water_pollution:wastewater_treatment:P,Avoided pollution cost (P in wastewater),none,"Several studies (Herna_ndez-Sancho et al. (2010, 2015) and Antalov and Halu__ (2020)) calculate the value of BOD, COD, N, and P removed from wastewater effluent. We use average values and adjust to LAC in 2019.",system_cost
cb:trww:water_pollution:wastewater_treatment:N,Avoided pollution cost (N in wastewater),none,"Several studies (Herna_ndez-Sancho et al. (2010, 2015) and Antalov and Halu__ (2020)) calculate the value of BOD, COD, N, and P removed from wastewater effluent. We use average values and adjust to LAC in 2019.",system_cost
cb:trww:water_pollution:wastewater_treatment:COD,Avoided pollution cost (COD in wastewater),none,"Several studies (Herna_ndez-Sancho et al. (2010, 2015) and Antalov and Halu__ (2020)) calculate the value of BOD, COD, N, and P removed from wastewater effluent. We use average values and adjust to LAC in 2019.",system_cost
cb:trww:water_pollution:wastewater_treatment:BOD,Avoided pollution cost (BOD in wastewater),none,"Several studies (Herna_ndez-Sancho et al. (2010, 2015) and Antalov and Halu__ (2020)) calculate the value of BOD, COD, N, and P removed from wastewater effluent. We use average values and adjust to LAC in 2019.",system_cost
cb:lsmm:fuel_cost:waste_to_energy_value:X,Cost of Energy Recovery (incineration),$11/Mbtu * 1Mbtu/1.05GJ * 30.58GJ/tonne biogs = 500,ND,system_cost
cb:enfu:fuel_cost:ccsq:electricity,Fuel Cost bio fuel_biogas,electricity,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:ccsq:hydrogen,Fuel Cost bio fuel_biogas,hydrogen,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:ccsq:natural_gas,Fuel Cost bio fuel_biogas,natural_gas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:biofuels,Fuel Cost bio fuel_biogas,biofuels,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:biogas,Fuel Cost bio fuel_biogas,biogas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:biomass,Fuel Cost bio fuel_biogas,biomass,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:coal,Fuel Cost bio fuel_biogas,coal,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:coke,Fuel Cost bio fuel_biogas,coke,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:diesel,Fuel Cost bio fuel_biogas,diesel,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:electricity,Fuel Cost bio fuel_biogas,electricity,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:gasoline,Fuel Cost bio fuel_biogas,gasoline,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,hydrocarbon_gas_liquids,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:hydrogen,Fuel Cost bio fuel_biogas,hydrogen,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:kerosene,Fuel Cost bio fuel_biogas,kerosene,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:natural_gas,Fuel Cost bio fuel_biogas,natural_gas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:nuclear,Fuel Cost bio fuel_biogas,nuclear,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:oil,Fuel Cost bio fuel_biogas,oil,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:other,Fuel Cost bio fuel_biogas,other,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:entc:waste,Fuel Cost bio fuel_biogas,waste,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:biomass,Fuel Cost bio fuel_biogas,biomass,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:coal,Fuel Cost bio fuel_biogas,coal,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:coke,Fuel Cost bio fuel_biogas,coke,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:diesel,Fuel Cost bio fuel_biogas,diesel,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:electricity,Fuel Cost bio fuel_biogas,electricity,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:gasoline,Fuel Cost bio fuel_biogas,gasoline,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,hydrocarbon_gas_liquids,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:hydrogen,Fuel Cost bio fuel_biogas,hydrogen,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:kerosene,Fuel Cost bio fuel_biogas,kerosene,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:natural_gas,Fuel Cost bio fuel_biogas,natural_gas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:inen:oil,Fuel Cost bio fuel_biogas,oil,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:biomass,Fuel Cost bio fuel_biogas,biomass,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:coal,Fuel Cost bio fuel_biogas,coal,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:diesel,Fuel Cost bio fuel_biogas,diesel,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:electricity,Fuel Cost bio fuel_biogas,electricity,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:gasoline,Fuel Cost bio fuel_biogas,gasoline,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,hydrocarbon_gas_liquids,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:hydrogen,Fuel Cost bio fuel_biogas,hydrogen,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:kerosene,Fuel Cost bio fuel_biogas,kerosene,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:scoe:natural_gas,Fuel Cost bio fuel_biogas,natural_gas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:biofuels,Fuel Cost bio fuel_biogas,biofuels,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:diesel,Fuel Cost bio fuel_biogas,diesel,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:electricity,Fuel Cost bio fuel_biogas,electricity,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:gasoline,Fuel Cost bio fuel_biogas,gasoline,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,hydrocarbon_gas_liquids,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:hydrogen,Fuel Cost bio fuel_biogas,hydrogen,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:kerosene,Fuel Cost bio fuel_biogas,kerosene,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:enfu:fuel_cost:trns:natural_gas,Fuel Cost bio fuel_biogas,natural_gas,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:inen:technical_cost:fuel_switch:lo_heat,Cost of low temp heat pumps,none,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",transformation_cost
cb:inen:technical_savings:fuel_switch:lo_heat,Maintenance savings of low temp heat pumps,none,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",transformation_cost
cb:inen:technical_cost:fuel_switch:hi_heat,Cost of high temp heat pumps,"Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ","In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",transformation_cost
cb:inen:technical_savings:fuel_switch:hi_heat,Maintenance savings of high temp heat pumps and hydrogen,ND,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",transformation_cost
cb:inen:technical_cost:fuel_switch:all,Cost of low temp heat pumps,none,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented). We assume high heat fuel switching is three times as expensive as low-heat fuel switching, but has the same maintenance savings, and create a weighted cost based on their relative reductions in energy consumption",transformation_cost
cb:inen:technical_savings:fuel_switch:all,Maintenance savings of low temp heat pumps,none,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented). We assume high heat fuel switching is three times as expensive as low-heat fuel switching, but has the same maintenance savings, and create a weighted cost based on their relative reductions in energy consumption",transformation_cost
cb:inen:technical_cost:efficiency:X,Cost of energy efficiency,ND,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively.  Average cost across interventions in both industries are CAD$18/GJ for cement in and CAD$44/GJ for steel. The United Nations Industrial Development Organization (2014) estimates costs for steam energy efficiency in China between $0 and $0 per GJ saved. We anticipate that costs in LAC may be closer to China than Canada and use a subjective weighted average, adjusting to LAC 2019 dollars.",transformation_cost
cb:trns:technical_cost:electrification:LDV,EV + Charger Cost,ND,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",transformation_cost
cb:trns:technical_savings:electrification:LDV,EV Maintenance,ND,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",transformation_cost
cb:trns:technical_cost:electrification:rail,Electric Rail Capital Cost,ND,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",transformation_cost
cb:trns:technical_savings:electrification:rail,Electric Rail Maintenance,ND,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",transformation_cost
cb:trns:technical_cost:fuel_switch:maritime,Fuel Switching Maritime Cost,ND,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",transformation_cost
cb:trns:technical_cost:electrification:hdv_vehicles,EV Vehicle Cost,ND,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",transformation_cost
cb:trns:technical_savings:electrification:hdv_vehicles,EV Maintenance,ND,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",transformation_cost
cb:trns:technical_cost:electrification:hdv_charger,EV Charger Cost,ND,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",transformation_cost
cb:trns:technical_cost:efficiency:electric,Cost of increasing energy efficiency (electricity),ND,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",transformation_cost
cb:trns:technical_cost:efficiency:non_electric,Cost of increasing energy efficiency (non-electricity),ND,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",transformation_cost
cb:trns:technical_cost:efficiency:all,Cost of increasing transportation energy efficiency,ND,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",transformation_cost
cb:scoe:technical_cost:efficiency:appliance,Cost of building appliance efficiency,ND,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saved for LAC.",transformation_cost
cb:scoe:technical_cost:fuel_switch:heat_pumps,Cost of building heat pumps,ND,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",transformation_cost
cb:scoe:technical_savings:fuel_switch:heat_pumps,Maintenance savings of building heat pumps,ND,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",transformation_cost
cb:scoe:technical_cost:efficiency:building_shell,Cost of building shell efficiency,ND,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",transformation_cost
cb:entc:technical_cost:loss_reduction:electricity,Cost of reducing electricity transmission losses,ND,"The IDB (Brichettei et al., 2021) estimate the cost between 2020 and 2030 of upgrading each countryÕs grid to meet SDGs to 2030. We use a simple annual average as an approximation of the annual cost of upgrades in each country that would yield reductions in transmission losses.  ",transformation_cost
cb:ippu:technical_savings:clinker:X,Savings from avoided clinker cost,The difference variable in this row is a dummy variable,"Leming et al. (2017) estimate that a ton of fly ash costs roughly 1/3 of a ton of cement, though more fly ash may be needed to replace an equivalent amount of clinker to achieve the same physical properties. We estimate therefore that each ton of substitution results in 50% savings in the cost of cement, which was approximately $94/ton in LAC in 2019 (Sindicato Nacional da Indstria do Cimento, 2022).",transformation_cost
